Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ParkName
1979,72701,72926,87950,136275,210756,301727,379640,427454,293424,193825,99485,74619,Yosemite
2018,107960,127790,373523,483487,500118,541464,500350,459415,481507,377826,218799,147794,Zion
2017,88561,110569,345476,515652,509017,533252,576349,529684,512940,422377,222069,138866,Zion
2016,84145,117510,359920,395768,447976,544890,599961,477507,497825,412916,232271,124438,Zion
2015,78318,106314,291118,392417,400048,458546,479538,455487,394201,314966,180390,97503,Zion
2014,70862,74625,226424,312381,391969,397753,407153,391973,340855,304108,169607,101986,Zion
2013,56972,64994,227899,292765,313594,367217,379129,345014,339593,203056,141251,75903,Zion
2012,68202,74382,165242,352192,343488,370280,392359,364857,355140,276134,140350,70981,Zion
2011,64524,67801,164037,255813,325089,376453,391144,360196,324727,273876,145158,76687,Zion
2010,54928,62099,171079,277599,304278,331185,362881,332796,319838,236316,143272,69701,Zion
2009,60204,62964,167246,271709,296330,366004,368933,372157,306161,265095,132998,65601,Zion
2008,56137,62044,187814,242778,302002,354527,360046,368739,312606,254187,126588,62686,Zion
2007,68640,71530,176622,286701,281149,333005,338116,337824,314290,253572,129962,65870,Zion
2006,71680,70170,144186,264821,277849,325124,347105,337212,298587,235952,128339,66325,Zion
2005,63566,70260,195530,230366,283547,339849,347745,340826,298465,227570,118083,70858,Zion
2004,67913,81970,190919,297906,295304,326499,337145,338899,323156,227332,113626,76673,Zion
2003,71233,72781,143284,244910,304556,308634,294996,312162,280970,229992,119860,75414,Zion
2002,55866,66575,158518,279225,301163,329355,347541,322920,312931,229989,112489,75973,Zion
2001,61795,53960,95231,207864,210707,323759,321920,344531,261476,179932,105821,50783,Zion
2000,80141,73390,126843,220905,239579,341054,341050,331474,289827,232685,105733,49667,Zion
1999,73220,69337,122668,218059,218639,298448,335012,373744,309215,237279,124086,69957,Zion
1998,70167,62429,112119,201553,230959,325129,318876,359490,284343,229844,112117,63022,Zion
1997,65244,68431,128143,230390,226370,326154,333883,367010,304847,230274,104605,60183,Zion
1996,58277,70136,126044,237607,238705,339727,340812,372426,310840,239701,102777,60949,Zion
1995,60215,70317,119841,189511,202000,337268,363645,377107,312443,224457,119920,53438,Zion
1994,60598,55083,103289,205846,198731,304478,326536,361394,295720,221345,90568,47283,Zion
1993,52236,50599,106142,206549,220669,335945,348106,376382,290893,258341,92657,54061,Zion
1992,55002,58579,81606,138140,257471,338363,353454,415549,318549,225259,89896,58758,Zion
1991,54687,64780,71951,131160,255396,336422,349020,362064,278614,208030,80061,44812,Zion
1990,54093,48346,77423,154762,237277,316983,308335,340603,257272,166148,98844,42314,Zion
1989,33534,38254,94224,132387,235179,300330,304532,321244,248105,163695,86055,41317,Zion
1988,38333,46684,65640,129748,208323,308566,305583,314482,262166,157715,71847,39245,Zion
1987,35783,37091,57095,117924,203914,267237,296526,300993,231095,131044,61714,37203,Zion
1986,35763,35919,80728,92993,246440,252715,261818,269267,194138,110052,50783,39887,Zion
1985,23339,30716,54763,95748,201599,229265,253508,253802,182744,100050,44125,33613,Zion
1984,21848,26463,48492,89509,160492,231037,232872,226230,174514,102092,42409,21296,Zion
1983,18578,24133,36086,75772,183803,201746,227243,202119,154567,90204,37866,20913,Zion
1982,15445,20958,38731,72295,146438,221168,252010,196725,140672,85304,32936,23608,Zion
1981,24349,22594,35058,63036,132198,221905,233041,262514,150219,86905,34820,22169,Zion
1980,15637,17832,32537,58225,134747,175129,212492,212223,136648,75312,32542,20522,Zion
1979,8994,12106,23079,63306,122964,156734,168614,187461,173883,77131,29139,17117,Zion
