Grand County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
192811,36.6,
192812,21.9,
192901,20.2,
192902,21.2,
192903,36.8,
192904,43.2,
192905,55.8,
192906,66.6,
192907,74.9,
192908,72.8,
192909,60.7,
192910,50.4,
192911,32,
192912,29.8,
193001,16.7,
193002,29.5,
193003,37.9,
193004,52.4,
193005,54.5,
193006,68.3,
193007,73.8,
193008,71.2,
193009,61.2,
193010,48.4,
193011,33.8,
193012,22.7,
193101,23.1,
193102,36,
193103,37.1,
193104,50,
193105,56.3,
193106,71.5,
193107,76.9,
193108,72,
193109,64.7,
193110,52.4,
193111,33.6,
193112,19.1,
193201,18,
193202,32.4,
193203,37.1,
193204,48.2,
193205,58.6,
193206,65.4,
193207,73.9,
193208,70.8,
193209,62.8,
193210,48,
193211,35.3,
193212,19.7,
193301,19.3,
193302,15.7,
193303,38.8,
193304,43,
193305,52.5,
193306,71.6,
193307,76,
193308,71.6,
193309,66.2,
193310,54.8,
193311,38,
193312,30.3,
193401,30.5,
193402,38.8,
193403,45.7,
193404,52.8,
193405,63.7,
193406,66.2,
193407,76.9,
193408,74.7,
193409,62.1,
193410,53.3,
193411,40,
193412,29.6,
193501,30.1,
193502,33.5,
193503,38.2,
193504,47.1,
193505,54.3,
193506,69.4,
193507,75.8,
193508,73.4,
193509,64.7,
193510,50.8,
193511,34.7,
193512,27.9,
193601,24.5,
193602,32.2,
193603,40.4,
193604,51,
193605,62.3,
193606,71.6,
193607,76,
193608,72.5,
193609,62.3,
193610,50.3,
193611,34.8,
193612,26.6,
193701,11.5,
193702,26,
193703,37.7,
193704,46.6,
193705,61.8,
193706,66.6,
193707,74.4,
193708,72.8,
193709,63.8,
193710,51.5,
193711,39,
193712,31.5,
193801,28.4,
193802,33.4,
193803,38.6,
193804,50.4,
193805,57.5,
193806,68.8,
193807,73.3,
193808,73.3,
193809,63.7,
193810,51.9,
193811,30,
193812,26.3,
193901,23,
193902,17.9,
193903,38.2,
193904,50.6,
193905,60.1,
193906,67.5,
193907,76.6,
193908,72.4,
193909,63.7,
193910,49.9,
193911,39.3,
193912,31.9,
194001,26.2,
194002,33.8,
194003,42,
194004,49.7,
194005,62.5,
194006,71.7,
194007,75.4,
194008,72.4,
194009,62.9,
194010,51.6,
194011,33.1,
194012,27,
194101,25.5,
194102,31.8,
194103,38.9,
194104,44.1,
194105,58.9,
194106,64.3,
194107,72.8,
194108,70.2,
194109,60.1,
194110,49.1,
194111,36.6,
194112,30.9,
194201,25.2,
194202,26,
194203,34.3,
194204,50,
194205,55.8,
194206,68.4,
194207,75.3,
194208,72.2,
194209,62.2,
194210,51.6,
194211,38.8,
194212,31.3,
194301,29.8,
194302,34.3,
194303,38.8,
194304,54.9,
194305,57.5,
194306,65.8,
194307,75.8,
194308,72.2,
194309,65.1,
194310,54.1,
194311,38,
194312,31.5,
194401,23.8,
194402,29.7,
194403,36.4,
194404,43.9,
194405,57.6,
194406,64.6,
194407,74.2,
194408,72.4,
194409,65.8,
194410,54.4,
194411,37.7,
194412,29.5,
194501,29.8,
194502,35.5,
194503,37.1,
194504,43.6,
194505,59.9,
194506,63.3,
194507,75,
194508,72.4,
194509,63.1,
194510,52.5,
194511,35.6,
194512,22.8,
194601,22,
194602,30.3,
194603,42.1,
194604,54.1,
194605,56.3,
194606,69.7,
194607,75.3,
194608,72,
194609,64.5,
194610,47.1,
194611,35.6,
194612,31.3,
194701,21.7,
194702,33.5,
194703,41.4,
194704,47.3,
194705,60.5,
194706,64.8,
194707,74.8,
194708,71.3,
194709,66.6,
194710,54,
194711,32.6,
194712,25.8,
194801,23.9,
194802,28.9,
194803,33.5,
194804,49.7,
194805,60.3,
194806,67.8,
194807,74.1,
194808,71.1,
194809,65.9,
194810,50.7,
194811,31.5,
194812,28.4,
194901,18.1,
194902,20.7,
194903,39.8,
194904,51.2,
194905,58.7,
194906,65.4,
194907,74.1,
194908,71.9,
194909,65.3,
194910,48,
194911,40.7,
194912,26.4,
195001,22.7,
195002,30.8,
195003,38,
195004,48.8,
195005,55.8,
195006,66,
195007,72.4,
